Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
YV55495,Arizona,5744.229745,No,Basic,High School or Below,1/15/2011,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal Auto,Personal L1,Offer1,Branch,204.48,Four-Door Car,Medsize
KY38074,California,13891.73567,No,Premium,Bachelor,1/8/2011,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal Auto,Personal L3,Offer1,Agent,561.60,Four-Door Car,Small
DM79012,Oregon,7380.976717,No,Extended,Master,2/6/2011,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal Auto,Personal L3,Offer2,Web,436.80,Four-Door Car,Small
CM61827,Oregon,3090.034104,No,Extended,Bachelor,1/25/2011,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal Auto,Personal L2,Offer3,Agent,648.00,Two-Door Car,Small
WC35801,Arizona,2521.633095,No,Basic,High School or Below,2/7/2011,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal Auto,Personal L3,Offer1,Call Center,157.40,Four-Door Car,Medsize
QG25316,Nevada,2652.061785,No,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married,70,7,1,1,1,Corporate Auto,Corporate L3,Offer3,Call Center,484.32,Two-Door Car,Medsize
MB98372,Oregon,2771.045031,Yes,Basic,College,1/11/2011,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Offer2,Agent,18.92,Two-Door Car,Medsize
IL19217,California,3939.00637,Yes,Extended,Bachelor,1/28/2011,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal Auto,Personal L2,Offer2,Agent,882.87,Four-Door Car,Small
SR38658,Arizona,12231.87968,No,Basic,High School or Below,2/8/2011,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal Auto,Personal L2,Offer4,Agent,494.40,Sports Car,Medsize
DH41343,Washington,2443.665166,No,Basic,College,2/23/2011,Employed,M,92834,Suburban,Married,61,15,56,0,1,Special Auto,Special L2,Offer2,Call Center,292.80,Four-Door Car,Large
HG65722,Oregon,12819.10289,No,Premium,Doctor,1/25/2011,Disabled,F,10105,Rural,Married,172,5,4,3,3,Personal Auto,Personal L2,Offer1,Branch,0.52,SUV,Medsize
BU27331,Arizona,4468.510542,No,Basic,Bachelor,1/31/2011,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Personal Auto,Personal L3,Offer3,Call Center,579.17,Four-Door Car,Medsize
XM45289,Oregon,5514.344018,No,Basic,High School or Below,1/2/2011,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Personal L2,Offer4,Agent,447.79,Two-Door Car,Medsize
KP34198,California,3343.875326,No,Extended,Bachelor,2/7/2011,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,529.62,Four-Door Car,Medsize
SH90947,Arizona,2294.478927,No,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal Auto,Personal L2,Offer4,Branch,313.02,Four-Door Car,Medsize
WE95729,Oregon,36707.42639,No,Basic,College,1/17/2011,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal Auto,Personal L2,Offer1,Agent,593.83,SUV,Small
PY51963,California,33473.34946,Yes,Basic,Bachelor,1/11/2011,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Corporate L1,Offer1,Web,508.80,SUV,Medsize
RB69909,Nevada,7983.431709,No,Basic,High School or Below,2/21/2011,Employed,F,36014,Rural,Married,69,4,40,3,2,Special Auto,Special L1,Offer4,Branch,173.96,Four-Door Car,Medsize
XR95069,Washington,4854.745666,No,Basic,Bachelor,2/16/2011,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Personal L3,Offer4,Agent,307.20,Four-Door Car,Medsize
FR46645,California,4293.997319,No,Premium,Bachelor,1/17/2011,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Personal L2,Offer1,Branch,831.63,Four-Door Car,Small
SY17488,Arizona,7164.395543,No,Extended,College,2/5/2011,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,436.80,Four-Door Car,Small
AP67935,California,7619.5158,No,Basic,College,2/13/2011,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Special L2,Offer2,Branch,302.57,Four-Door Car,Medsize
FS37417,Arizona,3958.002823,No,Basic,High School or Below,2/23/2011,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Personal L2,Offer1,Call Center,484.80,SUV,Small
ML29312,Oregon,4499.493252,No,Extended,High School or Below,1/28/2011,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal Auto,Personal L3,Offer1,Call Center,704.77,SUV,Medsize
UB61619,Oregon,4059.567414,No,Premium,Master,2/28/2011,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Offer1,Agent,518.40,Four-Door Car,Medsize
CD86811,Arizona,4458.113369,Yes,Basic,Bachelor,1/2/2011,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L1,Offer1,Agent,312.00,Four-Door Car,Medsize
RU83859,California,8110.333139,No,Premium,Bachelor,1/22/2011,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Personal L3,Offer1,Call Center,504.00,Two-Door Car,Small
FG63582,Oregon,3339.764873,No,Extended,Bachelor,1/15/2011,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Personal L3,Offer1,Agent,863.33,Two-Door Car,Small
NN71951,California,24261.01777,No,Basic,High School or Below,1/27/2011,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Personal L3,Offer1,Agent,104.33,SUV,Medsize
WB37082,Arizona,6613.973653,No,Basic,Bachelor,1/23/2011,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,676.39,Four-Door Car,Large
SM52139,Washington,2930.693543,No,Basic,College,1/31/2011,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,350.40,Four-Door Car,Medsize
FL82372,Oregon,8672.194272,No,Basic,College,1/26/2011,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.60,SUV,Medsize
DP45816,Arizona,11638.66926,No,Extended,High School or Below,1/10/2011,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Personal L3,Offer4,Branch,465.26,Two-Door Car,Small
GW33762,Oregon,6846.150323,Yes,Extended,Bachelor,1/27/2011,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456.00,Two-Door Car,Large
RZ33670,California,11727.77648,No,Premium,College,1/9/2011,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Personal L3,Offer3,Web,500.25,Four-Door Car,Medsize
PY70169,Oregon,22643.83478,No,Basic,High School or Below,2/24/2011,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Offer4,Agent,281.45,SUV,Medsize
MO91628,Oregon,2614.474305,No,Basic,Master,2/11/2011,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Personal L2,Offer2,Web,5.43,Two-Door Car,Large
HW87852,Oregon,2451.752695,No,Basic,Master,2/12/2011,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal Auto,Personal L1,Offer1,Agent,307.20,Four-Door Car,Medsize
HB20453,Oregon,6781.270203,No,Basic,Bachelor,2/4/2011,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal Auto,Personal L3,Offer1,Agent,982.40,Sports Car,Medsize
BN87372,Oregon,4974.801539,Yes,Basic,Bachelor,1/18/2011,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L3,Offer2,Branch,467.80,Two-Door Car,Medsize
YX23800,Oregon,8591.604933,No,Basic,Bachelor,2/11/2011,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Personal L3,Offer2,Branch,350.40,Four-Door Car,Small
DZ87709,Oregon,5592.161392,No,Basic,High School or Below,2/1/2011,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,29.03,Four-Door Car,Medsize
XW13033,Nevada,8009.472833,No,Basic,College,2/15/2011,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Personal L1,Offer2,Agent,321.60,Four-Door Car,Medsize
LN31673,Washington,11318.08982,No,Extended,College,2/6/2011,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal Auto,Personal L3,Offer1,Agent,115.73,Four-Door Car,Medsize
OM82309,California,58166.55351,No,Basic,Bachelor,2/27/2011,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal Auto,Personal L3,Offer2,Branch,427.63,Luxury Car,Small
ZU35962,California,8025.229358,No,Extended,College,1/26/2011,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,25.81,Two-Door Car,Large
VH85817,California,5780.182197,Yes,Basic,High School or Below,2/26/2011,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Personal L3,Offer2,Call Center,787.99,Four-Door Car,Medsize
DT85712,California,4118.539113,No,Basic,Doctor,1/27/2011,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Personal L1,Offer3,Branch,489.60,SUV,Medsize
YJ88573,Nevada,2523.07015,No,Basic,Master,1/16/2011,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,302.40,Four-Door Car,Large
SQ19467,Oregon,6554.216396,No,Extended,College,1/27/2011,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.62,Four-Door Car,Small
HF88410,Washington,7703.397294,No,Basic,High School or Below,2/28/2011,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.85,Four-Door Car,Medsize
ET79815,California,5926.729379,Yes,Extended,College,1/25/2011,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Personal L1,Offer1,Agent,460.80,Four-Door Car,Medsize
QC35222,California,2683.470677,No,Basic,Bachelor,1/1/2011,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.15,Four-Door Car,Medsize
CJ15590,Oregon,2695.182419,No,Basic,Bachelor,2/1/2011,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,321.60,Four-Door Car,Medsize
OI48267,California,6047.02516,Yes,Extended,College,2/19/2011,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L3,Offer1,Branch,364.80,Four-Door Car,Medsize
JY67916,Oregon,13171.01282,No,Premium,College,1/27/2011,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.83,Two-Door Car,Small
OE75231,Washington,10656.88195,Yes,Extended,Bachelor,2/27/2011,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,631.74,Two-Door Car,Medsize
CZ33664,Oregon,2527.653796,No,Basic,Bachelor,1/17/2011,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,11.88,Four-Door Car,Medsize
WK30175,Oregon,2672.095756,No,Basic,Bachelor,2/10/2011,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,350.53,Two-Door Car,Small
ON44465,California,5313.294035,No,Extended,High School or Below,1/24/2011,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,863.39,Four-Door Car,Medsize
TV87155,Oregon,20946.19251,No,Basic,Bachelor,2/24/2011,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Personal L3,Offer1,Branch,492.13,Four-Door Car,Large
KH48895,Arizona,8375.353929,No,Basic,Master,2/15/2011,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,132.59,SUV,Medsize
NZ30757,California,4801.661503,No,Basic,Bachelor,2/16/2011,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,297.60,Four-Door Car,Medsize
RI22468,Arizona,5745.94334,No,Basic,Bachelor,1/22/2011,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.91,Four-Door Car,Medsize
FZ30935,Oregon,6066.115969,No,Extended,College,2/25/2011,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.04,Two-Door Car,Small
UG93476,California,8002.308333,Yes,Basic,College,1/11/2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,513.60,SUV,Medsize
AB96670,California,2393.915369,Yes,Basic,College,1/31/2011,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,425.27,Four-Door Car,Medsize
XK64261,Oregon,4762.8179,No,Basic,Bachelor,1/12/2011,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.01,Two-Door Car,Medsize
EV68375,California,4330.38602,Yes,Premium,College,2/16/2011,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.60,Four-Door Car,Medsize
UN51653,California,9402.729769,No,Extended,High School or Below,2/9/2011,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Offer1,Web,936.00,SUV,Medsize
TO96662,Oregon,6966.694527,No,Extended,Bachelor,1/19/2011,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,142.06,Four-Door Car,Small
MR52087,California,7694.064293,No,Basic,Bachelor,1/4/2011,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.15,Four-Door Car,Medsize
DE75225,Oregon,8717.561149,No,Basic,High School or Below,1/9/2011,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Personal L1,Offer1,Agent,561.60,SUV,Medsize
EP80820,California,5928.748528,No,Basic,Bachelor,1/27/2011,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.57,Two-Door Car,Medsize
GU99037,Oregon,2452.977288,No,Basic,College,2/14/2011,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.61,Four-Door Car,Medsize
WI57118,California,6701.571657,No,Extended,College,2/27/2011,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,408.00,Four-Door Car,Small
YQ74870,Washington,7556.24034,No,Extended,High School or Below,2/12/2011,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,470.40,Four-Door Car,Small
MQ14219,Arizona,8492.6988,No,Basic,College,2/26/2011,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,784.80,SUV,Medsize
KN20603,Oregon,7713.494046,No,Basic,Bachelor,2/20/2011,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Personal L3,Offer1,Agent,316.80,Four-Door Car,Medsize
CR48975,Washington,24084.5352,No,Basic,High School or Below,2/2/2011,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,396.08,Four-Door Car,Medsize
JI70886,California,7290.069769,No,Basic,High School or Below,2/15/2011,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Offer1,Agent,489.60,SUV,Medsize
VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,2/18/2011,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.40,SUV,Medsize
OX28638,Arizona,6806.491395,No,Extended,High School or Below,1/21/2011,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,465.63,Two-Door Car,Medsize
SK55033,California,2469.781334,No,Basic,Bachelor,1/15/2011,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.40,Two-Door Car,Medsize
OO88645,California,3103.923041,No,Extended,College,2/5/2011,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.90,Four-Door Car,Medsize
YT36855,Washington,2981.875575,No,Extended,College,2/24/2011,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,582.68,Two-Door Car,Medsize
CW82151,California,8902.737595,No,Basic,Bachelor,1/5/2011,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,64.11,Sports Car,Medsize
DY22043,Oregon,5499.447223,No,Basic,High School or Below,1/28/2011,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,326.40,Two-Door Car,Small
SH36774,California,15023.59858,No,Basic,High School or Below,1/12/2011,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Offer3,Web,921.60,Luxury SUV,Medsize
EM43724,Nevada,2509.107875,No,Basic,Bachelor,2/16/2011,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,101.90,Four-Door Car,Medsize
FH85960,Oregon,31221.7481,No,Premium,College,1/3/2011,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Personal L2,Offer1,Call Center,542.40,Four-Door Car,Medsize
XA55993,Oregon,3133.503432,No,Extended,Master,2/7/2011,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,143.75,Four-Door Car,Medsize
GO36627,Arizona,3837.451863,No,Extended,College,1/13/2011,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,424.08,Four-Door Car,Medsize
QH48047,Oregon,11790.49617,Yes,Basic,College,1/3/2011,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.80,Four-Door Car,Medsize
RB50392,Washington,7838.068321,No,Basic,Master,2/17/2011,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,2.70,Four-Door Car,Medsize
UH65059,Arizona,4305.808345,No,Basic,High School or Below,1/21/2011,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Offer1,Agent,523.20,Sports Car,Medsize
FV21968,Nevada,5973.976904,No,Basic,Bachelor,1/26/2011,Employed,F,41611,Rural,Married,74,14,8,0,8,Special Auto,Special L2,Offer1,Branch,113.80,Four-Door Car,Medsize
QA87025,Oregon,5670.442396,No,Basic,Bachelor,1/31/2011,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,192.88,Four-Door Car,Medsize
TQ13499,Arizona,4731.749346,No,Premium,College,1/2/2011,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal Auto,Personal L3,Offer1,Agent,828.66,Four-Door Car,Small
BU44523,Arizona,8026.379641,No,Basic,High School or Below,2/7/2011,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Corporate Auto,Corporate L2,Offer1,Web,532.80,Four-Door Car,Small
MS41162,Arizona,4022.963529,No,Basic,High School or Below,1/26/2011,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal Auto,Personal L3,Offer1,Agent,975.11,SUV,Medsize
PU25891,Oregon,9618.310865,No,Basic,High School or Below,1/11/2011,Employed,F,80536,Rural,Married,119,5,83,0,3,Special Auto,Special L2,Offer1,Branch,53.80,Sports Car,Medsize
RB81636,Washington,2274.775451,No,Basic,College,1/15/2011,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Personal Auto,Personal L2,Offer2,Agent,606.64,Four-Door Car,Small
